	id	image_links	name
62	5300	https://myanimelist.cdn-dena.com/images/anime/4/79738.jpg	Zoku Natsume Yuujinchou
63	9989	https://myanimelist.cdn-dena.com/images/anime/5/79697.jpg	Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
64	24415	https://myanimelist.cdn-dena.com/images/anime/4/68299.jpg	Kuroko no Basket 3rd Season
65	11577	https://myanimelist.cdn-dena.com/images/anime/3/50317.jpg	Steins;Gate Movie: Fuka Ryouiki no Déjà vu
66	10408	https://myanimelist.cdn-dena.com/images/anime/8/38229.jpg	Hotarubi no Mori e
67	28171	https://myanimelist.cdn-dena.com/images/anime/3/72943.jpg	Shokugeki no Souma
68	32995	https://myanimelist.cdn-dena.com/images/anime/6/81149.jpg	Yuri!!! on Ice
69	21899	https://myanimelist.cdn-dena.com/images/anime/1172/90571.jpg	Gintama: Yorinuki Gintama-san on Theater 2D
70	26055	https://myanimelist.cdn-dena.com/images/anime/11/75045.jpg	JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season
71	7472	https://myanimelist.cdn-dena.com/images/anime/4/28803.jpg	Gintama Movie: Shinyaku Benizakura-hen
72	777	https://myanimelist.cdn-dena.com/images/anime/6/7333.jpg	Hellsing Ultimate
73	22535	https://myanimelist.cdn-dena.com/images/anime/3/73178.jpg	Kiseijuu: Sei no Kakuritsu
74	28735	https://myanimelist.cdn-dena.com/images/anime/2/77907.jpg	Shouwa Genroku Rakugo Shinjuu
75	12431	https://myanimelist.cdn-dena.com/images/anime/7/37573.jpg	Uchuu Kyoudai
76	28805	https://myanimelist.cdn-dena.com/images/anime/11/73540.jpg	Bakemono no Ko
77	578	https://myanimelist.cdn-dena.com/images/anime/7/75808.jpg	Hotaru no Haka
78	16894	https://myanimelist.cdn-dena.com/images/anime/9/56155.jpg	Kuroko no Basket 2nd Season
79	5028	https://myanimelist.cdn-dena.com/images/anime/9/75218.jpg	Major S5
80	801	https://myanimelist.cdn-dena.com/images/anime/11/51465.jpg	Ghost in the Shell: Stand Alone Complex 2nd GIG
81	31933	https://myanimelist.cdn-dena.com/images/anime/3/79156.jpg	JoJo no Kimyou na Bouken: Diamond wa Kudakenai
82	5205	https://myanimelist.cdn-dena.com/images/anime/9/56619.jpg	Kara no Kyoukai 7: Satsujin Kousatsu (Kou)
83	17389	https://myanimelist.cdn-dena.com/images/anime/13/53589.jpg	Kingdom 2nd Season
84	170	https://myanimelist.cdn-dena.com/images/anime/4/19655.jpg	Slam Dunk
85	10162	https://myanimelist.cdn-dena.com/images/anime/2/29665.jpg	Usagi Drop
86	18617	https://myanimelist.cdn-dena.com/images/anime/1776/91467.jpg	Girls und Panzer der Film
87	32182	https://myanimelist.cdn-dena.com/images/anime/8/80356.jpg	Mob Psycho 100
88	877	https://myanimelist.cdn-dena.com/images/anime/2/11232.jpg	Nana
89	2251	https://myanimelist.cdn-dena.com/images/anime/3/14547.jpg	Baccano!
90	24687	https://myanimelist.cdn-dena.com/images/anime/8/63539.jpg	Mushishi Zoku Shou: Odoro no Michi
91	16498	https://myanimelist.cdn-dena.com/images/anime/10/47347.jpg	Shingeki no Kyojin
92	10030	https://myanimelist.cdn-dena.com/images/anime/3/34923.jpg	Bakuman. 2nd Season
93	5941	https://myanimelist.cdn-dena.com/images/anime/6/22103.jpg	Cross Game
94	30346	https://myanimelist.cdn-dena.com/images/anime/3/78606.jpg	Doukyuusei (Movie)
95	3784	https://myanimelist.cdn-dena.com/images/anime/5/74983.jpg	Evangelion: 2.0 You Can (Not) Advance
96	13125	https://myanimelist.cdn-dena.com/images/anime/12/36775.jpg	Shinsekai yori
97	12029	https://myanimelist.cdn-dena.com/images/anime/2/36607.jpg	Uchuu Senkan Yamato 2199
98	14397	https://myanimelist.cdn-dena.com/images/anime/6/47435.jpg	Chihayafuru 2
99	10087	https://myanimelist.cdn-dena.com/images/anime/2/73249.jpg	Fate/Zero
100	14719	https://myanimelist.cdn-dena.com/images/anime/3/40409.jpg	JoJo no Kimyou na Bouken (TV)
101	9756	https://myanimelist.cdn-dena.com/images/anime/11/55225.jpg	Mahou Shoujo Madoka★Magica
102	10165	https://myanimelist.cdn-dena.com/images/anime/3/75617.jpg	Nichijou
103	13601	https://myanimelist.cdn-dena.com/images/anime/5/43399.jpg	Psycho-Pass
104	22789	https://myanimelist.cdn-dena.com/images/anime/5/59321.jpg	Barakamon
105	30230	https://myanimelist.cdn-dena.com/images/anime/9/74398.jpg	Diamond no Ace: Second Season
106	18115	https://myanimelist.cdn-dena.com/images/anime/13/55039.jpg	Magi: The Kingdom of Magic
107	11981	https://myanimelist.cdn-dena.com/images/anime/5/54231.jpg	Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
108	11917	https://myanimelist.cdn-dena.com/images/anime/5/75220.jpg	Major: World Series
109	205	https://myanimelist.cdn-dena.com/images/anime/11/29134.jpg	Samurai Champloo
110	32282	https://myanimelist.cdn-dena.com/images/anime/8/79353.jpg	Shokugeki no Souma: Ni no Sara
111	6594	https://myanimelist.cdn-dena.com/images/anime/2/50023.jpg	Katanagatari
112	11979	https://myanimelist.cdn-dena.com/images/anime/6/42265.jpg	Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari
